노드,Betweenness,소관위원회,Id,Label,Party,Reselection,District_Type,Gender,Role,Importance,Final_Importance
신창현,0.0121383156817327,행정안전위원회,신창현,신창현,더불어민주당,초선,지역구,남,Representative,0.0854651307466251,0.001037402736783095
윤일규,0.0004435608852917,행정안전위원회,윤일규,윤일규,더불어민주당,초선,지역구,남,Representative,0.2463711717270404,0.00010928061504159949
이찬열,0.0170680366413233,행정안전위원회,이찬열,이찬열,더불어민주당,3선,지역구,남,Representative,1.1746514826711774,0.020048994547016398
조승래,0.0044861758483298,행정안전위원회,조승래,조승래,더불어민주당,초선,지역구,남,Representative,0.2088104943838757,0.0009367605967827485
주승용,0.0243478601716736,행정안전위원회,주승용,주승용,국민의당,4선,지역구,남,Representative,1.1127518815412194,0.027093127217532317
백승주,0.0010823699922797,행정안전위원회,백승주,백승주,자유한국당,초선,지역구,남,Representative,0.1747219249951915,0.00018911376860813976
조경태,0.0103270460631409,행정안전위원회,조경태,조경태,자유한국당,4선,지역구,남,Representative,0.9905363611314508,0.010229314628620463
최연혜,0.000699275567224,행정안전위원회,최연혜,최연혜,자유한국당,초선,비례대표,여,Representative,0.0914081709115077,6.391950056305289e-05
이상헌,0.0031584955418921,행정안전위원회,이상헌,이상헌,더불어민주당,초선,지역구,남,Representative,0.7296652103979866,0.0023046443141158017
김두관,0.0017810880935443,행정안전위원회,김두관,김두관,더불어민주당,초선,지역구,남,Representative,0.4560581632169218,0.0008122797644693424
김정호,0.0003158632886309,행정안전위원회,김정호,김정호,더불어민주당,초선,지역구,남,Representative,0.2510534798158137,7.92985777568542e-05
노웅래,0.0173887841977524,행정안전위원회,노웅래,노웅래,더불어민주당,3선,지역구,남,Representative,0.7159401864066474,0.012449329399923817
도종환,0.004437056193786,행정안전위원회,도종환,도종환,더불어민주당,재선,지역구,남,Representative,0.5493526775829224,0.0024375087006422293
신동근,0.0008647581411225,행정안전위원회,신동근,신동근,더불어민주당,초선,지역구,남,Representative,0.4356644688754545,0.0003767443962578593
