대표발의자_정당,공동발의자_정당,협력지수,파일명,평균_혼합성지수
국민의당,더불어민주당,0.07537341564674546,20대_소관위원회_기획재정위원회.csv,0.11493265841091928
국민의당,자유한국당,0.040857641211472395,20대_소관위원회_기획재정위원회.csv,0.11493265841091928
국민의당,정의당,0.02971591996262089,20대_소관위원회_기획재정위원회.csv,0.11493265841091928
더불어민주당,국민의당,0.14294526968400176,20대_소관위원회_기획재정위원회.csv,0.11493265841091928
더불어민주당,더불어민주당,0.9102231701270131,20대_소관위원회_기획재정위원회.csv,0.11493265841091928
더불어민주당,자유한국당,0.03685906068638193,20대_소관위원회_기획재정위원회.csv,0.11493265841091928
더불어민주당,정의당,0.04730359929512637,20대_소관위원회_기획재정위원회.csv,0.11493265841091928
자유한국당,국민의당,0.0354561335809718,20대_소관위원회_기획재정위원회.csv,0.11493265841091928
자유한국당,더불어민주당,0.023714157891340643,20대_소관위원회_기획재정위원회.csv,0.11493265841091928
자유한국당,자유한국당,0.9335697467517552,20대_소관위원회_기획재정위원회.csv,0.11493265841091928
자유한국당,정의당,0.0014612927364261162,20대_소관위원회_기획재정위원회.csv,0.11493265841091928
정의당,국민의당,0.024496752873465404,20대_소관위원회_기획재정위원회.csv,0.11493265841091928
정의당,더불어민주당,0.07124738692331252,20대_소관위원회_기획재정위원회.csv,0.11493265841091928
정의당,자유한국당,0.0006659321785622304,20대_소관위원회_기획재정위원회.csv,0.11493265841091928
정의당,정의당,0.5380065385332878,20대_소관위원회_기획재정위원회.csv,0.11493265841091928
국민의당,국민의당,0.703017188619863,20대_소관위원회_정무위원회.csv,0.125143236234244
국민의당,더불어민주당,0.13264638541074575,20대_소관위원회_정무위원회.csv,0.125143236234244
국민의당,자유한국당,0.03799517158365293,20대_소관위원회_정무위원회.csv,0.125143236234244
국민의당,정의당,0.023931658896451716,20대_소관위원회_정무위원회.csv,0.125143236234244
더불어민주당,국민의당,0.12115927604944814,20대_소관위원회_정무위원회.csv,0.125143236234244
더불어민주당,더불어민주당,0.9042173829013516,20대_소관위원회_정무위원회.csv,0.125143236234244
더불어민주당,자유한국당,0.021531999892478726,20대_소관위원회_정무위원회.csv,0.125143236234244
더불어민주당,정의당,0.08156808008310944,20대_소관위원회_정무위원회.csv,0.125143236234244
자유한국당,국민의당,0.03910811005899189,20대_소관위원회_정무위원회.csv,0.125143236234244
자유한국당,더불어민주당,0.0175206989218142,20대_소관위원회_정무위원회.csv,0.125143236234244
자유한국당,자유한국당,0.9414113755498931,20대_소관위원회_정무위원회.csv,0.125143236234244
자유한국당,정의당,0.00780467046350526,20대_소관위원회_정무위원회.csv,0.125143236234244
정의당,국민의당,0.027999311692047918,20대_소관위원회_정무위원회.csv,0.125143236234244
정의당,더불어민주당,0.07685440267784326,20대_소관위원회_정무위원회.csv,0.125143236234244
정의당,자유한국당,0.007004499373425055,20대_소관위원회_정무위원회.csv,0.125143236234244
정의당,정의당,0.44717328964655717,20대_소관위원회_정무위원회.csv,0.125143236234244
국민의당,국민의당,0.7298475643287522,20대_소관위원회_산업통상자원중소벤처기업위원회.csv,0.10367170626349892
국민의당,더불어민주당,0.10736077393078888,20대_소관위원회_산업통상자원중소벤처기업위원회.csv,0.10367170626349892
국민의당,자유한국당,0.033574003671070135,20대_소관위원회_산업통상자원중소벤처기업위원회.csv,0.10367170626349892
국민의당,정의당,0.02246312055894586,20대_소관위원회_산업통상자원중소벤처기업위원회.csv,0.10367170626349892
더불어민주당,국민의당,0.10648519462559561,20대_소관위원회_산업통상자원중소벤처기업위원회.csv,0.10367170626349892
더불어민주당,더불어민주당,0.9216141766779475,20대_소관위원회_산업통상자원중소벤처기업위원회.csv,0.10367170626349892
