노드,Betweenness,소관위원회
김병관,0.005752203009625276,행정안전위원회
김철민,0.0024121718767042403,행정안전위원회
박재호,0.0016915967951171033,행정안전위원회
서형수,0.0003476735586261508,행정안전위원회
심기준,0.0029644997081473444,행정안전위원회
위성곤,0.007641580550923105,행정안전위원회
유승희,0.00887592663054991,행정안전위원회
이규희,0.0008699370440789199,행정안전위원회
이원욱,0.004964032215409226,행정안전위원회
이종걸,0.001897285995334285,행정안전위원회
홍익표,0.005451131725432164,행정안전위원회
강창일,0.005215915568696225,행정안전위원회
권미혁,0.005290573531255613,행정안전위원회
김민기,0.006539130711934078,행정안전위원회
김영호,0.01653787972025842,행정안전위원회
김한정,0.00355695262999727,행정안전위원회
소병훈,0.020154022343822593,행정안전위원회
전혜숙,0.011312045673390054,행정안전위원회
표창원,0.0053545206185460084,행정안전위원회
박찬대,0.0023776959862996266,행정안전위원회
서삼석,0.0008631556498794024,행정안전위원회
송옥주,0.005176248517744638,행정안전위원회
윤후덕,0.008464905318596696,행정안전위원회
이용득,0.0035863176548320366,행정안전위원회
임종성,0.002153582447884392,행정안전위원회
정춘숙,0.0013358164309803593,행정안전위원회
허윤정,8.166033856268686e-06,행정안전위원회
금태섭,0.0006923807125859404,행정안전위원회
김상희,0.002473616547607389,행정안전위원회
박광온,0.0027675153480764517,행정안전위원회
백혜련,0.003246551504148418,행정안전위원회
이춘석,0.004987233627318247,행정안전위원회
정재호,0.0013597642666254486,행정안전위원회
최운열,0.004414055230910375,행정안전위원회
박정,0.011202206673890542,행정안전위원회
신경민,0.0014488722411420017,행정안전위원회
이후삼,0.0001666912538560888,행정안전위원회
이훈,0.0005125173296969012,행정안전위원회
조정식,0.0005993784494347043,행정안전위원회
설훈,0.0007872413748221478,행정안전위원회
송갑석,0.0011813233567428622,행정안전위원회
원혜영,0.0037064417279622187,행정안전위원회
윤관석,0.00326879437921594,행정안전위원회
정병국,0.009574993267609447,행정안전위원회
김세연,0.004342833756282971,행정안전위원회
성일종,0.0035483731892864342,행정안전위원회
송희경,0.009340903509765961,행정안전위원회
원유철,0.0016821777784921585,행정안전위원회
유의동,0.002560517961033646,행정안전위원회
윤영일,0.0043225823424282404,행정안전위원회
이동섭,0.010082041198516486,행정안전위원회
하태경,0.019363477174977817,행정안전위원회
홍문표,0.005038098752274554,행정안전위원회
박대출,0.0006115633416827762,행정안전위원회
곽상도,0.0015982443672983967,행정안전위원회
김규환,0.0020108804726810077,행정안전위원회
김상훈,0.007365546698392807,행정안전위원회
김석기,0.009687584790203681,행정안전위원회
김진태,0.00025187721437388514,행정안전위원회
박명재,0.01951283000850409,행정안전위원회
박성중,0.0052658567507264924,행정안전위원회
심재철,0.0008670657396465124,행정안전위원회
윤상직,0.0009187264347922057,행정안전위원회
윤종필,0.0,행정안전위원회
이은권,0.000743599525335871,행정안전위원회
이종배,0.0035108438007969514,행정안전위원회
정갑윤,0.011444239014758311,행정안전위원회
정우택,0.0009492794325402214,행정안전위원회
정종섭,0.0014862921468612668,행정안전위원회
홍철호,0.005586041839124675,행정안전위원회
이언주,0.011553178919127733,행정안전위원회
권성동,0.0024986588445872634,행정안전위원회
김성찬,0.011442492716654871,행정안전위원회
김태흠,0.0020172825551714266,행정안전위원회
박덕흠,0.009435147386515306,행정안전위원회
조훈현,0.0,행정안전위원회
주호영,0.003175519420421931,행정안전위원회
강석호,0.007702136463364194,행정안전위원회
곽대훈,0.0010416113028999469,행정안전위원회
김광림,0.0015124360918667078,행정안전위원회
김도읍,0.0036536834160526468,행정안전위원회
김무성,0.0,행정안전위원회
이진복,0.0020754804494506774,행정안전위원회
정태옥,0.00346438795960473,행정안전위원회
추경호,0.002811583678824744,행정안전위원회
강병원,0.0026362164478911034,행정안전위원회
박영선,0.0011641566716213186,행정안전위원회
유동수,0.007314282063711463,행정안전위원회
윤준호,0.0003505762599458552,행정안전위원회
제윤경,0.0025489737827171267,행정안전위원회
김삼화,0.0062132626523971205,행정안전위원회
정운천,0.004365156460377904,행정안전위원회
김영춘,0.003374306821290662,행정안전위원회
기동민,0.002245651837305226,행정안전위원회
김영주,0.0,행정안전위원회
김종민,0.002935341488410775,행정안전위원회
서영교,0.008693343842519052,행정안전위원회
한정애,0.001408894830563828,행정안전위원회
문진국,0.002079204791860938,행정안전위원회
윤재옥,0.006891608454527198,행정안전위원회
이종구,0.0014844855821430027,행정안전위원회
홍문종,0.00022343872516132396,행정안전위원회
김영우,0.002423372903031401,행정안전위원회
김한표,0.0004422233432365018,행정안전위원회
김현아,0.003179393310893204,행정안전위원회
안상수,0.006162812163907539,행정안전위원회
이채익,0.010365718953949124,행정안전위원회
전희경,0.00025281100207832,행정안전위원회
심상정,0.0006044411241407536,행정안전위원회
윤영석,0.0025548082940516797,행정안전위원회
이정미,0.004110988310046459,행정안전위원회
조배숙,0.0027440102249796264,행정안전위원회
천정배,0.0011966401213222857,행정안전위원회
박인숙,0.011491064682900154,행정안전위원회
김승희,0.0051265561798368355,행정안전위원회
이명수,0.018162838453667993,행정안전위원회
김병기,0.0023773788348356406,행정안전위원회
신창현,0.012138315681732754,행정안전위원회
윤일규,0.00044356088529177594,행정안전위원회
이찬열,0.017068036641323385,행정안전위원회
조승래,0.004486175848329878,행정안전위원회
주승용,0.024347860171673674,행정안전위원회
백승주,0.001082369992279704,행정안전위원회
조경태,0.01032704606314095,행정안전위원회
최연혜,0.0006992755672240728,행정안전위원회
이상헌,0.0031584955418921673,행정안전위원회
김두관,0.0017810880935443267,행정안전위원회
