Committee,Party_Modularity,Max_Modularity,Ratio
20대_소관위원회_행정안전위원회.csv,0.4804705182653038,0.49014962882573676,0.9802527432620495
20대_소관위원회_법제사법위원회.csv,0.48107303486329034,0.4912780675535771,0.979227583390594
20대_소관위원회_국토교통위원회.csv,0.4769078971148214,0.4862916059146665,0.9807035353156153
20대_소관위원회_보건복지위원회.csv,0.4700555138758071,0.4797104507457694,0.9798734072710892
20대_소관위원회_기획재정위원회.csv,0.48339981093548606,0.4965566030170332,0.9735039429511003
20대_소관위원회_정무위원회.csv,0.47151214488717713,0.4790988572523854,0.9841646202023571
20대_소관위원회_산업통상자원중소벤처기업위원회.csv,0.48490999593396117,0.5099277277326782,0.950938671427116
20대_소관위원회_환경노동위원회.csv,0.4631362637046835,0.48237821201497777,0.9601102457967219
20대_소관위원회_교육위원회.csv,0.44098384296539617,0.45657729669823344,0.9658470671984738
20대_소관위원회_농림축산식품해양수산위원회.csv,0.43566960300962126,0.46185254686432,0.9433088676624954
20대_소관위원회_문화체육관광위원회.csv,0.44299056918145585,0.4717575858406811,0.9390216129583547
20대_소관위원회_과학기술정보방송통신위원회.csv,0.46280316901278723,0.482866235203967,0.9584500535998237
20대_소관위원회_국회운영위원회.csv,0.4759484438215658,0.4892135697880116,0.9728847955460559
20대_소관위원회_국방위원회.csv,0.48155384683827407,0.500120345683979,0.9628759377499173
20대_소관위원회_여성가족위원회.csv,0.4784953165807047,0.509149105465919,0.9397940828018088
20대_소관위원회_외교통일위원회.csv,0.4580719168911543,0.4828512705958285,0.9486811877411092
20대_소관위원회_정보위원회.csv,0.5254613148214075,0.5724494185356592,0.9179174575206163
