Id,Label,Party,Reselection,District_Type,Gender,Role
권성동,권성동,국민의힘,5선,지역구,남,Representative
조인철,조인철,더불어민주당,초선,지역구,남,Representative
장경태,장경태,더불어민주당,재선,지역구,남,Representative
백종헌,백종헌,국민의힘,재선,지역구,남,Representative
정준호,정준호,더불어민주당,초선,지역구,남,Representative
박성민,박성민,국민의힘,재선,지역구,남,Representative
정춘생,정춘생,조국혁신당,초선,비례대표,여,Representative
신장식,신장식,조국혁신당,초선,비례대표,남,Representative
박용갑,박용갑,더불어민주당,초선,지역구,남,Representative
박희승,박희승,더불어민주당,초선,지역구,남,Representative
양문석,양문석,더불어민주당,초선,지역구,남,Representative
오세희,오세희,더불어민주당,초선,비례대표,여,Representative
황정아,황정아,더불어민주당,초선,지역구,여,Representative
조은희,조은희,국민의힘,재선,지역구,여,Representative
정희용,정희용,국민의힘,재선,지역구,남,Representative
이성권,이성권,국민의힘,재선,지역구,남,Representative
김용만,김용만,더불어민주당,초선,지역구,남,Representative
구자근,구자근,국민의힘,재선,지역구,남,Representative
한지아,한지아,국민의힘,초선,비례대표,여,Representative
조배숙,조배숙,국민의힘,5선,비례대표,여,Representative
박범계,박범계,더불어민주당,4선,지역구,남,Representative
강득구,강득구,더불어민주당,재선,지역구,남,Representative
김영환,김영환,더불어민주당,초선,지역구,남,Representative
김용태,김용태,국민의힘,초선,지역구,남,Representative
임종득,임종득,국민의힘,초선,지역구,남,Representative
김상훈,김상훈,국민의힘,4선,지역구,남,Representative
김기표,김기표,더불어민주당,초선,지역구,남,Representative
이성윤,이성윤,더불어민주당,초선,지역구,남,Representative
서천호,서천호,국민의힘,초선,지역구,남,Representative
소병훈,소병훈,더불어민주당,3선,지역구,남,Representative
김태호,김태호,국민의힘,4선,지역구,남,Representative
김영배,김영배,더불어민주당,재선,지역구,남,Representative
윤종군,윤종군,더불어민주당,초선,지역구,남,Representative
박덕흠,박덕흠,국민의힘,4선,지역구,남,Representative
안상훈,안상훈,국민의힘,초선,비례대표,남,Representative
강선영,강선영,국민의힘,초선,비례대표,여,Representative
강훈식,강훈식,더불어민주당,3선,지역구,남,Representative
정성호,정성호,더불어민주당,5선,지역구,남,Representative
안도걸,안도걸,더불어민주당,초선,지역구,남,Representative
강유정,강유정,더불어민주당,초선,비례대표,여,Representative
이건태,이건태,더불어민주당,초선,지역구,남,Representative
이강일,이강일,더불어민주당,초선,지역구,남,Representative
이철규,이철규,국민의힘,3선,지역구,남,Representative
허성무,허성무,더불어민주당,초선,지역구,남,Representative
송옥주,송옥주,더불어민주당,3선,지역구,여,Representative
정태호,정태호,더불어민주당,재선,지역구,남,Representative
김재섭,김재섭,국민의힘,초선,지역구,남,Representative
차지호,차지호,더불어민주당,초선,지역구,남,Representative
김윤,김윤,더불어민주당,초선,비례대표,남,Representative
이언주,이언주,더불어민주당,3선,지역구,여,Representative
이재강,이재강,더불어민주당,초선,지역구,남,Representative
김영진,김영진,더불어민주당,3선,지역구,남,Representative
장동혁,장동혁,국민의힘,재선,지역구,남,Representative
김도읍,김도읍,국민의힘,4선,지역구,남,Representative
전현희,전현희,더불어민주당,3선,지역구,여,Representative
전종덕,전종덕,더불어민주당,초선,비례대표,여,Representative
문진석,문진석,더불어민주당,재선,지역구,남,Representative
황희,황희,더불어민주당,3선,지역구,남,Representative
최은석,최은석,국민의힘,초선,지역구,남,Representative
김선교,김선교,국민의힘,재선,지역구,남,Representative
이헌승,이헌승,국민의힘,4선,지역구,남,Representative
이재명,이재명,더불어민주당,재선,지역구,남,Representative
송석준,송석준,국민의힘,3선,지역구,남,Representative
김민석,김민석,더불어민주당,4선,지역구,남,Representative
곽상언,곽상언,더불어민주당,초선,지역구,남,Representative
박수현,박수현,더불어민주당,재선,지역구,남,Representative
최민희,최민희,더불어민주당,재선,지역구,여,Representative
이광희,이광희,더불어민주당,초선,지역구,남,Representative
박상혁,박상혁,더불어민주당,재선,지역구,남,Representative
이훈기,이훈기,더불어민주당,초선,지역구,남,Representative
최보윤,최보윤,국민의힘,초선,비례대표,여,Representative
유용원,유용원,국민의힘,초선,비례대표,남,Representative
서일준,서일준,국민의힘,재선,지역구,남,Representative
서명옥,서명옥,국민의힘,초선,지역구,여,Representative
김윤덕,김윤덕,더불어민주당,3선,지역구,남,Representative
주철현,주철현,더불어민주당,재선,지역구,남,Representative
진성준,진성준,더불어민주당,3선,지역구,남,Representative
한정애,한정애,더불어민주당,4선,지역구,여,Representative
김재원,김재원,조국혁신당,초선,비례대표,여,Representative
추경호,추경호,국민의힘,3선,지역구,남,Representative
백혜련,백혜련,더불어민주당,3선,지역구,여,Representative
용혜인,용혜인,더불어민주당,재선,비례대표,여,Representative
채현일,채현일,더불어민주당,초선,지역구,남,Representative
윤후덕,윤후덕,더불어민주당,4선,지역구,남,Representative
홍기원,홍기원,더불어민주당,재선,지역구,남,Representative
윤영석,윤영석,국민의힘,4선,지역구,남,Representative
문정복,문정복,더불어민주당,재선,지역구,여,Representative
정혜경,정혜경,더불어민주당,초선,비례대표,여,Representative
김병주,김병주,더불어민주당,재선,지역구,남,Representative
김태년,김태년,더불어민주당,5선,지역구,남,Representative
박주민,박주민,더불어민주당,3선,지역구,남,Representative
김미애,김미애,국민의힘,재선,지역구,여,Representative
김남희,김남희,더불어민주당,초선,지역구,여,Representative
권영세,권영세,국민의힘,5선,지역구,남,Representative
곽규택,곽규택,국민의힘,초선,지역구,남,Representative
이수진,이수진,더불어민주당,재선,지역구,여,Representative
nan,nan,,,,,Co-Sponsor
윤한홍,윤한홍,국민의힘,3선,지역구,남,Representative
주호영,주호영,국민의힘,6선,지역구,남,Representative
김원이,김원이,더불어민주당,재선,지역구,남,Representative
이종욱,이종욱,국민의힘,초선,지역구,남,Representative
김희정,김희정,국민의힘,3선,지역구,여,Representative
이달희,이달희,국민의힘,초선,비례대표,여,Representative
임광현,임광현,더불어민주당,초선,비례대표,남,Representative
손명수,손명수,더불어민주당,초선,지역구,남,Representative
권향엽,권향엽,더불어민주당,초선,지역구,여,Representative
고동진,고동진,국민의힘,초선,지역구,남,Representative
강대식,강대식,국민의힘,재선,지역구,남,Representative
이준석,이준석,개혁신당,초선,지역구,남,Representative
신정훈,신정훈,더불어민주당,3선,지역구,남,Representative
김대식,김대식,국민의힘,초선,지역구,남,Representative
한기호,한기호,국민의힘,4선,지역구,남,Representative
김한규,김한규,더불어민주당,재선,지역구,남,Representative
이소영,이소영,더불어민주당,재선,지역구,여,Representative
허종식,허종식,더불어민주당,재선,지역구,남,Representative
이용선,이용선,더불어민주당,재선,지역구,남,Representative
추미애,추미애,더불어민주당,6선,지역구,여,Representative
노종면,노종면,더불어민주당,초선,지역구,남,Representative
위성락,위성락,더불어민주당,초선,비례대표,남,Representative
박홍근,박홍근,더불어민주당,4선,지역구,남,Representative
이재관,이재관,더불어민주당,초선,지역구,남,Representative
김위상,김위상,국민의힘,초선,비례대표,남,Representative
이정문,이정문,더불어민주당,재선,지역구,남,Representative
김남근,김남근,더불어민주당,초선,지역구,남,Representative
이연희,이연희,더불어민주당,초선,지역구,남,Representative
권영진,권영진,국민의힘,재선,지역구,남,Representative
민홍철,민홍철,더불어민주당,4선,지역구,남,Representative
박선원,박선원,더불어민주당,초선,지역구,남,Representative
모경종,모경종,더불어민주당,초선,지역구,남,Representative
한민수,한민수,더불어민주당,초선,지역구,남,Representative
정일영,정일영,더불어민주당,재선,지역구,남,Representative
김성환,김성환,더불어민주당,3선,지역구,남,Representative
유상범,유상범,국민의힘,재선,지역구,남,Representative
남인순,남인순,더불어민주당,4선,지역구,여,Representative
조정식,조정식,더불어민주당,6선,지역구,남,Representative
안태준,안태준,더불어민주당,초선,지역구,남,Representative
전재수,전재수,더불어민주당,3선,지역구,남,Representative
진선미,진선미,더불어민주당,4선,지역구,여,Representative
안규백,안규백,더불어민주당,5선,지역구,남,Representative
조국,조국,조국혁신당,초선,비례대표,남,Representative
조정훈,조정훈,국민의힘,재선,지역구,남,Representative
정청래,정청래,더불어민주당,4선,지역구,남,Representative
박상웅,박상웅,국민의힘,초선,지역구,남,Representative
박정,박정,더불어민주당,3선,지역구,남,Representative
조지연,조지연,국민의힘,초선,지역구,여,Representative
김선민,김선민,조국혁신당,초선,비례대표,여,Representative
