노드,소관위원회,Betweenness,Case2 비율,중요도
최연숙,여성가족위원회,0.1077700144208738,1.0,0.1077700144208738
용혜인,국회운영위원회,0.0707437667829119,1.0,0.0707437667829119
양정숙,정무위원회,0.0606129965647115,0.9961641733793632,0.060380495618932
최연숙,보건복지위원회,0.0585466370210755,0.9989079989079988,0.0584827040295154
강민정,교육위원회,0.0538453634585101,1.0,0.0538453634585101
양정숙,과학기술정보방송통신위원회,0.0476770445493042,0.9986607142857142,0.0476131913646399
양향자,산업통상자원중소벤처기업위원회,0.0601458122743635,0.6604938271604939,0.0397259377367709
최연숙,국회운영위원회,0.0392516892838937,0.9682539682539684,0.0380056039098018
윤재옥,국토교통위원회,0.0638435454152263,0.5859375,0.0374083273917341
이용호,기획재정위원회,0.0380592651633994,0.8599439775910365,0.0327288358688056
안규백,국방위원회,0.0786736157368426,0.3908333333333333,0.0307482714838159
권은희,교육위원회,0.0277184869734298,0.992337164750958,0.0275060847743996
조정훈,환경노동위원회,0.0274301444796353,1.0,0.0274301444796353
이상헌,문화체육관광위원회,0.0780485057029309,0.3402777777777778,0.0265581720794695
조정훈,법제사법위원회,0.0259322986576381,1.0,0.0259322986576381
양정숙,보건복지위원회,0.0258021734986053,0.9960044395116536,0.0256990793536608
이용호,법제사법위원회,0.0282758535594754,0.9030470914127424,0.0255344273140969
김예지,문화체육관광위원회,0.0689209256652427,0.366263440860215,0.0252432153814229
양정숙,법제사법위원회,0.0233335563632511,0.998768472906404,0.0233048204563998
이용호,보건복지위원회,0.0257937891081388,0.8984468339307049,0.0231743481592836
양정숙,여성가족위원회,0.0226032583833706,0.9969040247678018,0.0225332792552487
윤재갑,국회운영위원회,0.0669910725965824,0.3355555555555555,0.0224792265824087
양향자,기획재정위원회,0.0491806463620256,0.4551495016611295,0.0223845466830481
조승래,과학기술정보방송통신위원회,0.0926106568582226,0.2296296296296296,0.0212661508341103
하태경,외교통일위원회,0.0326224983814738,0.616,0.0200954590029878
조정훈,산업통상자원중소벤처기업위원회,0.0192365464644957,1.0,0.0192365464644957
강민정,여성가족위원회,0.0190188340832365,0.9986666666666668,0.0189934756377921
류호정,문화체육관광위원회,0.0185886205104706,1.0,0.0185886205104706
강민정,환경노동위원회,0.0180741901486603,0.9984276729559748,0.0180457716106907
양정숙,행정안전위원회,0.0176897711409409,0.9994685091682168,0.0176803691897631
이용호,정무위원회,0.0213856830658299,0.7986270022883295,0.017079183958752
양정숙,환경노동위원회,0.0167110198130647,0.9980392156862744,0.0166782531075488
허영,행정안전위원회,0.0503773325796304,0.3218579234972678,0.016214343655411
최승재,산업통상자원중소벤처기업위원회,0.049535308013583,0.3267882187938289,0.0161875550731624
김영식,과학기술정보방송통신위원회,0.073356719737454,0.2203898050974512,0.0161670731655258
조정훈,기획재정위원회,0.0159495853699971,1.0,0.0159495853699971
한기호,국방위원회,0.0429851176414605,0.3650406504065041,0.0156913153016388
홍문표,농림축산식품해양수산위원회,0.0413508428702098,0.3753086419753086,0.0155193286821528
김진표,교육위원회,0.0499782120064062,0.3019801980198019,0.0150924303583701
이달곤,농림축산식품해양수산위원회,0.0536192630039744,0.2712550607287449,0.0145444964423736
이용호,행정안전위원회,0.0198007718376375,0.7057971014492753,0.0139753273694629
윤상현,정무위원회,0.029822704262444,0.4520547945205479,0.0134814964474061
성일종,국방위원회,0.0482347621168243,0.2767123287671232,0.0133471533528746
위성곤,농림축산식품해양수산위원회,0.0382409100842851,0.3384791309319611,0.012943750011376
심상정,국토교통위원회,0.0128730051453477,0.989517819706499,0.012738067984495
양금희,정치개혁특별위원회,0.0451893495517656,0.25,0.0112973373879414
남인순,정치개혁특별위원회,0.0438769614420547,0.256198347107438,0.0112412049975512
이명수,외교통일위원회,0.0373185862042218,0.2857142857142857,0.0106624532012062
김병기,정보위원회,0.0206117387710112,0.5151515151515151,0.0106181684577936
한병도,외교통일위원회,0.0304197985119586,0.3333333333333333,0.0101399328373195
이용호,국토교통위원회,0.0093019720410728,0.9166666666666666,0.0085268077043167
용혜인,정치개혁특별위원회,0.004790947740743,1.0,0.004790947740743
조태용,정보위원회,0.0091760815651694,0.5,0.0045880407825847
김경협,정보위원회,0.0072196197299531,0.5135135135135135,0.0037073722937596
김민석,민생경제안정 특별위원회,0.0012658227848101,0.2222222222222222,0.00028129395218
임이자,정치개혁 특별위원회,0.0,0.0,0.0
양금희,정치개혁 특별위원회,0.0,0.0,0.0
정우택,정치개혁 특별위원회,0.0,0.0,0.0
배현진,민생경제안정 특별위원회,0.0,0.0,0.0
배준영,민생경제안정 특별위원회,0.0014240506329113,0.0,0.0
