대표발의자_정당,공동발의자_정당,협력지수,파일명,평균_혼합성지수(소관위원회에 따른)
국민의힘,기본소득당,0.009219533168075512,21대_소관위원회_법제사법위원회.csv,0.09310995131792466
국민의힘,더불어민주당,0.03349600677504551,21대_소관위원회_법제사법위원회.csv,0.09310995131792466
국민의힘,시대전환,0.034034174157067894,21대_소관위원회_법제사법위원회.csv,0.09310995131792466
국민의힘,열린민주당,0.005724536438259159,21대_소관위원회_법제사법위원회.csv,0.09310995131792466
국민의힘,정의당,0.018503750722973843,21대_소관위원회_법제사법위원회.csv,0.09310995131792466
기본소득당,국민의힘,0.004070214434669702,21대_소관위원회_법제사법위원회.csv,0.09310995131792466
기본소득당,더불어민주당,0.033451479882782194,21대_소관위원회_법제사법위원회.csv,0.09310995131792466
기본소득당,시대전환,0.028759865427152538,21대_소관위원회_법제사법위원회.csv,0.09310995131792466
기본소득당,열린민주당,0.03628049637050785,21대_소관위원회_법제사법위원회.csv,0.09310995131792466
기본소득당,정의당,0.032350772404131305,21대_소관위원회_법제사법위원회.csv,0.09310995131792466
기본소득당,진보당,0.060522753266880246,21대_소관위원회_법제사법위원회.csv,0.09310995131792466
더불어민주당,국민의당,0.006238830064532473,21대_소관위원회_법제사법위원회.csv,0.09310995131792466
더불어민주당,국민의힘,0.025306808619565302,21대_소관위원회_법제사법위원회.csv,0.09310995131792466
더불어민주당,기본소득당,0.05357376425310927,21대_소관위원회_법제사법위원회.csv,0.09310995131792466
더불어민주당,더불어민주당,0.9440683623427352,21대_소관위원회_법제사법위원회.csv,0.09310995131792466
더불어민주당,시대전환,0.01586273029402068,21대_소관위원회_법제사법위원회.csv,0.09310995131792466
더불어민주당,열린민주당,0.14007555467232918,21대_소관위원회_법제사법위원회.csv,0.09310995131792466
더불어민주당,정의당,0.06326269177012125,21대_소관위원회_법제사법위원회.csv,0.09310995131792466
더불어민주당,진보당,0.0030347092047291954,21대_소관위원회_법제사법위원회.csv,0.09310995131792466
시대전환,국민의당,0.01233534278728621,21대_소관위원회_법제사법위원회.csv,0.09310995131792466
시대전환,국민의힘,0.03873780377811153,21대_소관위원회_법제사법위원회.csv,0.09310995131792466
시대전환,더불어민주당,0.02653088849465452,21대_소관위원회_법제사법위원회.csv,0.09310995131792466
시대전환,열린민주당,0.011509850172363799,21대_소관위원회_법제사법위원회.csv,0.09310995131792466
시대전환,정의당,0.05773027565146336,21대_소관위원회_법제사법위원회.csv,0.09310995131792466
열린민주당,국민의힘,0.0030191711939559704,21대_소관위원회_법제사법위원회.csv,0.09310995131792466
열린민주당,기본소득당,0.014860228174281072,21대_소관위원회_법제사법위원회.csv,0.09310995131792466
열린민주당,더불어민주당,0.1359009291445514,21대_소관위원회_법제사법위원회.csv,0.09310995131792466
열린민주당,열린민주당,0.14640050304109792,21대_소관위원회_법제사법위원회.csv,0.09310995131792466
열린민주당,정의당,0.026396587669704836,21대_소관위원회_법제사법위원회.csv,0.09310995131792466
정의당,국민의당,0.005346752700174288,21대_소관위원회_법제사법위원회.csv,0.09310995131792466
정의당,국민의힘,0.013992413271435761,21대_소관위원회_법제사법위원회.csv,0.09310995131792466
정의당,기본소득당,0.09756589611294243,21대_소관위원회_법제사법위원회.csv,0.09310995131792466
정의당,더불어민주당,0.044672339273860696,21대_소관위원회_법제사법위원회.csv,0.09310995131792466
정의당,열린민주당,0.042406015800751484,21대_소관위원회_법제사법위원회.csv,0.09310995131792466
