노드,Betweenness,소관위원회
이개호,0.0013923428698556551,행정안전위원회
이용빈,0.004326839388680788,행정안전위원회
서동용,0.0012734292288107333,행정안전위원회
윤영덕,0.002461877392665413,행정안전위원회
송기헌,0.0023564862525301843,행정안전위원회
정점식,0.0012273481181800463,행정안전위원회
윤창현,0.001768927962163182,행정안전위원회
조정훈,0.012171298309261006,행정안전위원회
용혜인,0.005308282812279713,행정안전위원회
서삼석,0.005792195540373086,행정안전위원회
유경준,0.003981384234998195,행정안전위원회
김형동,0.012524685529595517,행정안전위원회
전재수,0.0028315776488487807,행정안전위원회
이상헌,0.007432374562743499,행정안전위원회
김승원,0.004324137278956364,행정안전위원회
고민정,0.00043917945669730865,행정안전위원회
남인순,0.018194643516485788,행정안전위원회
이장섭,0.0033246708894632184,행정안전위원회
박성민,0.00668136170193785,행정안전위원회
김기현,0.007108328377738028,행정안전위원회
김정재,0.001642908290343491,행정안전위원회
우신구,7.25418767584495e-06,행정안전위원회
정경희,0.0021264662545396,행정안전위원회
이용,0.0015730736290247636,행정안전위원회
윤주경,0.0008181711239449517,행정안전위원회
이종성,0.003188783302100107,행정안전위원회
최승재,0.0036413188859802524,행정안전위원회
이상민,0.0020743959021930175,행정안전위원회
박대출,0.0018371518490412596,행정안전위원회
신현영,0.0010042825833642525,행정안전위원회
이소영,0.001242296448126171,행정안전위원회
위성곤,0.004758177014529919,행정안전위원회
이용선,0.0015793047073561673,행정안전위원회
안병길,0.0009544043586224133,행정안전위원회
박수영,0.0029800235382174355,행정안전위원회
장제원,0.0006096978342879001,행정안전위원회
조경태,0.0032898899757329114,행정안전위원회
박재호,0.005807355357879169,행정안전위원회
최인호,0.0012261965729151803,행정안전위원회
엄태영,0.005094270712257232,행정안전위원회
홍문표,0.009860558958160048,행정안전위원회
한무경,0.0012106747664361087,행정안전위원회
노용호,0.0008126423122472355,행정안전위원회
김태호,0.0010391658445636316,행정안전위원회
안철수,0.0005576664816695193,행정안전위원회
서정숙,0.0005410603752743269,행정안전위원회
최종윤,0.0016203117517508275,행정안전위원회
허영,0.05037733257963047,행정안전위원회
박광온,0.0010102581608528109,행정안전위원회
기동민,0.0008427463194407702,행정안전위원회
고영인,0.0007028579938890689,행정안전위원회
안호영,0.0009118488325796458,행정안전위원회
윤준병,0.006678938554314431,행정안전위원회
어기구,0.0008079802273466853,행정안전위원회
김윤덕,0.0011823877129126046,행정안전위원회
김정호,0.0037487538568564804,행정안전위원회
이달곤,0.00020164830788349338,행정안전위원회
강대식,0.0033842424539087704,행정안전위원회
민병덕,0.006218787831136424,행정안전위원회
이은주,0.0058585725657617415,행정안전위원회
강성희,8.59547013520223e-05,행정안전위원회
강기윤,0.002842788345858169,행정안전위원회
서일준,0.0061127158345608,행정안전위원회
박정,0.002142161012839988,행정안전위원회
전혜숙,0.0028321060631110156,행정안전위원회
한준호,0.004041724867227405,행정안전위원회
노웅래,0.004692578328898614,행정안전위원회
김병기,0.0019977522138221503,행정안전위원회
김영진,0.0006867518775553305,행정안전위원회
양기대,0.003668935095758418,행정안전위원회
김경협,0.0014307661983611823,행정안전위원회
윤후덕,0.0003043015923900601,행정안전위원회
천준호,0.0014453862827201482,행정안전위원회
김학용,0.007479867768908686,행정안전위원회
정우택,0.01065112754268126,행정안전위원회
강득구,0.00392579299598698,행정안전위원회
김성주,0.0007249517207763478,행정안전위원회
김성환,0.00014607281077384828,행정안전위원회
김한규,0.0002560327992486886,행정안전위원회
서영교,0.018742084938355955,행정안전위원회
안규백,0.0024708855117374262,행정안전위원회
황운하,0.0028807460579698563,행정안전위원회
강민국,0.00020051503476251387,행정안전위원회
홍석준,0.0003448677965467275,행정안전위원회
김민기,0.002322221868539947,행정안전위원회
정춘숙,0.001990930664803302,행정안전위원회
백혜련,0.0032921990717670094,행정안전위원회
권인숙,0.0017356957291008387,행정안전위원회
이탄희,0.0020187841173646805,행정안전위원회
권은희,0.0013883542154975537,행정안전위원회
류성걸,0.000575478856589593,행정안전위원회
조명희,0.002150515416051406,행정안전위원회
양경숙,0.0026838265647782084,행정안전위원회
임병헌,0.00020078673772988578,행정안전위원회
한기호,0.006497292474113358,행정안전위원회
우원식,0.0015596936615215364,행정안전위원회
이종배,0.0024359120714299407,행정안전위원회
설훈,0.0021573269254154255,행정안전위원회
권칠승,0.001331200475112259,행정안전위원회
임종성,0.002956934390537463,행정안전위원회
김영선,0.0007658639397879614,행정안전위원회
최연숙,0.003286707709620829,행정안전위원회
이만희,0.003304097908172563,행정안전위원회
유의동,0.0005973473086991994,행정안전위원회
이용호,0.01980077183763755,행정안전위원회
양금희,0.012049800207576858,행정안전위원회
조해진,0.0008595794766754639,행정안전위원회
김상훈,0.00210573365314016,행정안전위원회
이태규,0.003285373258086,행정안전위원회
소병훈,0.003104738272954324,행정안전위원회
박상혁,0.008498950107680602,행정안전위원회
이인영,0.0005695896258238103,행정안전위원회
홍영표,0.003077801664290708,행정안전위원회
박용진,0.000456035466655916,행정안전위원회
전용기,0.0023165451609267335,행정안전위원회
김경만,0.0035976889438468778,행정안전위원회
고용진,0.0,행정안전위원회
김용민,0.0008804654715743244,행정안전위원회
배준영,0.0039141807745247115,행정안전위원회
이용우,0.0006908246338535164,행정안전위원회
김원이,0.0011208527648095333,행정안전위원회
송옥주,0.0013442185813510705,행정안전위원회
윤영찬,0.000874576227374446,행정안전위원회
장철민,0.000384970311129449,행정안전위원회
박영순,0.002156586906116921,행정안전위원회
윤두현,0.0018025679010076853,행정안전위원회
윤영석,0.000674403021172079,행정안전위원회
장경태,0.003514728149354685,행정안전위원회
김희국,0.0,행정안전위원회
양이원영,0.00039303342591475896,행정안전위원회
김수흥,0.0013950454129158388,행정안전위원회
박홍근,0.0020291180738908274,행정안전위원회
진성준,0.0007328368055190574,행정안전위원회
정청래,0.0031105202729442777,행정안전위원회
강선우,0.0009601190504749635,행정안전위원회
변재일,0.0019940039065620223,행정안전위원회
유기홍,0.0025102194448718617,행정안전위원회
정필모,0.0,행정안전위원회
조승래,0.0045050941510152,행정안전위원회
김민철,0.02432108636373091,행정안전위원회
황희,9.71356412184938e-05,행정안전위원회
전해철,0.0,행정안전위원회
김태년,0.0001717501405195263,행정안전위원회
조정식,0.00040105996356416373,행정안전위원회
김두관,0.01304585783082577,행정안전위원회
김영호,0.006083288927022191,행정안전위원회
민홍철,0.0016743195947378062,행정안전위원회
김의겸,0.0013125801361460218,행정안전위원회
김병주,0.0006298368135468648,행정안전위원회
박성준,0.002544016521546265,행정안전위원회
박범계,0.00020745638052897683,행정안전위원회
김남국,0.0014911266258913851,행정안전위원회
안민석,0.0006444117360954282,행정안전위원회
류호정,0.002056564440294271,행정안전위원회
윤건영,0.0018102219713327003,행정안전위원회
윤호중,0.0005409877382402602,행정안전위원회
최강욱,0.000714112647480432,행정안전위원회
맹성규,0.002192355948100369,행정안전위원회
허은아,0.0005752778138063058,행정안전위원회
우상호,7.708063703980314e-05,행정안전위원회
홍기원,0.0022944837698665654,행정안전위원회
이철규,0.0005549516862138622,행정안전위원회
신원식,0.0006555789219297313,행정안전위원회
윤관석,0.000633038407990766,행정안전위원회
이재명,3.4297773560912943e-06,행정안전위원회
박완주,0.0031752283097655947,행정안전위원회
김한정,0.00018120921484029263,행정안전위원회
오기형,9.571458156154637e-05,행정안전위원회
이재정,0.0003352803684444614,행정안전위원회
김선교,0.0014698455450641204,행정안전위원회
배현진,0.00024755618532208614,행정안전위원회
정찬민,0.0017778967372107767,행정안전위원회
추경호,0.0023952928508811267,행정안전위원회
김진표,0.0008250774192221813,행정안전위원회
이광재,0.0,행정안전위원회
조태용,0.00022952884627729705,행정안전위원회
박완수,0.004373397541620974,행정안전위원회
김태흠,0.00018156000194379266,행정안전위원회
이영,0.0012494450500970405,행정안전위원회
오영훈,0.002625404803639153,행정안전위원회
김은혜,0.0003417195523542085,행정안전위원회
송영길,0.0005704006029582052,행정안전위원회
홍준표,0.0,행정안전위원회
이규민,0.00044812617678289147,행정안전위원회
정정순,0.00024018716439542278,행정안전위원회
곽상도,0.00041446274193315244,행정안전위원회
윤희숙,0.0,행정안전위원회
이낙연,0.00031143768529598854,행정안전위원회
김진애,0.00010002804497795591,행정안전위원회
이상직,0.0,행정안전위원회
김웅,0.009679636358483098,법제사법위원회
이용우,0.004473808044638684,법제사법위원회
조응천,0.005264719388993379,법제사법위원회
유의동,0.00039346023837981203,법제사법위원회
오영환,0.00788280168046715,법제사법위원회
홍정민,0.00394185613647707,법제사법위원회
강병원,0.0041212059389491166,법제사법위원회
유경준,0.0043458863984910286,법제사법위원회
김희국,0.0,법제사법위원회
김영식,0.0020458756131638946,법제사법위원회
이탄희,0.005551179523489844,법제사법위원회
용혜인,0.0050828326935865665,법제사법위원회
박용진,0.004408514291062072,법제사법위원회
장혜영,0.01185854456357703,법제사법위원회
한준호,0.0029839423708063768,법제사법위원회
정필모,0.00044897018883656935,법제사법위원회
양이원영,0.0013699652804392349,법제사법위원회
황운하,0.005974415008359127,법제사법위원회
강민정,0.003589606041168149,법제사법위원회
전용기,0.006495456575785096,법제사법위원회
강은미,0.00212748167029628,법제사법위원회
김홍걸,0.00781342946144401,법제사법위원회
윤미향,0.002768707478943662,법제사법위원회
양경규,0.0,법제사법위원회
배진교,0.001013894234488147,법제사법위원회
이자스민,2.993058304579936e-05,법제사법위원회
심상정,0.0009772397271805772,법제사법위원회
