노드,Betweenness,소관위원회,Id,Label,Party,Reselection,District_Type,Gender,Role,Importance,Final_Importance
문진석,0.0044986519381121,행정안전위원회,문진석,문진석,더불어민주당,초선,지역구,남,Representative,0.2131284851715763,0.0009587908728840078
서영석,0.0005112703127147,행정안전위원회,서영석,서영석,더불어민주당,초선,지역구,남,Representative,0.1839691144889395,9.405794669460655e-05
송재호,0.0156294292715316,행정안전위원회,송재호,송재호,더불어민주당,초선,지역구,남,Representative,0.3758954363478019,0.005875031135889479
정성호,0.001972591227341,행정안전위원회,정성호,정성호,더불어민주당,4선,지역구,남,Representative,0.4625431982315658,0.0009124086550978358
이정문,0.0006057171299929,행정안전위원회,이정문,이정문,더불어민주당,초선,지역구,남,Representative,0.0848113999966772,5.1371717796667157e-05
허숙정,0.0,행정안전위원회,허숙정,허숙정,더불어민주당,초선,비례대표,여,Representative,1.1015877581031428,0.0
강병원,0.0044209885625826,행정안전위원회,강병원,강병원,더불어민주당,재선,지역구,남,Representative,0.2679228198118838,0.0011844837220432172
임호선,0.0214438391578819,행정안전위원회,임호선,임호선,더불어민주당,초선,지역구,남,Representative,0.1630095698549976,0.0034955509971660824
이동주,0.0050703518899499,행정안전위원회,이동주,이동주,더불어민주당,초선,비례대표,남,Representative,0.2481459493801818,0.001258187283423217
윤재옥,0.0096683205664239,행정안전위원회,윤재옥,윤재옥,국민의힘,3선,지역구,남,Representative,0.5807333195948687,0.0056147158974466935
이양수,0.0041956092884366,행정안전위원회,이양수,이양수,국민의힘,재선,지역구,남,Representative,0.4099103257016184,0.0017198235699397819
이인선,0.0010865455412817,행정안전위원회,이인선,이인선,국민의힘,초선,지역구,여,Representative,0.3231681290160744,0.0003511368896667648
권성동,0.006417251661445,행정안전위원회,권성동,권성동,국민의힘,4선,지역구,남,Representative,0.1650123478378992,0.0010589257633216989
정희용,0.0058644872653728,행정안전위원회,정희용,정희용,국민의힘,초선,지역구,남,Representative,0.1013462246233544,0.0005943436436972731
김웅,0.0004306342706026,행정안전위원회,김웅,김웅,국민의힘,초선,지역구,남,Representative,0.3699621682437175,0.00015931838847218967
전주혜,0.003201061180618,행정안전위원회,전주혜,전주혜,국민의힘,초선,비례대표,여,Representative,0.2622996745628045,0.0008396373059317281
조은희,0.004816060181345,행정안전위원회,조은희,조은희,국민의힘,초선,지역구,여,Representative,0.4971643551550483,0.002394373454446292
전봉민,0.0029709410706416,행정안전위원회,전봉민,전봉민,국민의힘,초선,지역구,남,Representative,0.0399499989170311,0.00011868909255469514
서범수,0.0136770891266104,행정안전위원회,서범수,서범수,국민의힘,초선,지역구,남,Representative,0.2022344335941221,0.00276597837273638
최혜영,0.0040905358288081,행정안전위원회,최혜영,최혜영,더불어민주당,초선,비례대표,여,Representative,0.4555600514410841,0.0018634847125934154
홍성국,0.0024452910579797,행정안전위원회,홍성국,홍성국,더불어민주당,초선,지역구,남,Representative,0.0821632285254589,0.0002009130080080473
주철현,0.0006800916819911,행정안전위원회,주철현,주철현,더불어민주당,초선,지역구,남,Representative,0.1808273551250511,0.00012297918009699795
